CUIs,clinvar_trait
C0334041,progressive osseous heteroplasia
C0334082,epidermal nevus
C0334083,connective tissue nevi
C0334540,verrucous hemangioma
C0334579,"astrocytoma, anaplastic"
C0334586,pleomorphic xanthoastrocytoma
C0338451,frontotemporal dementia
C0338484,familial hemiplegic migraine
C0338488,alternating hemiplegia of childhood
C0338502,optic nerve hypoplasia
C0338503,septo-optic dysplasia sequence
C0338656,cognitive impairment
Cumapped50,cognitive impairment and autistic features
C0339278,reis-bucklers' corneal dystrophy
C0339510,vitelliform macular dystrophy 2
C0339527,leber congenital amaurosis
C0339539,familial exudative vitreoretinopathy
C0340279,ventricular hypertrophy
C0340427,primary familial dilated cardiomyopathy
C0340643,aortic dissection
C0340803,capillary malformation
C0340968,pyruvate kinase deficiency of red cells
C0340970,severe congenital neutropenia
C0341306,congenital microvillous atrophy
C0342195,iodotyrosine deiodination defect
C0342273,transitory neonatal diabetes mellitus
C0342276,maturity onset diabetes mellitus in young
C0342277,maturity-onset diabetes of the young type 2
C0342287,"megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
C0342288,insulin-dependent diabetes mellitus secretory diarrhea syndrome
C0342384,hypogonadotropic hypogonadism 7 with or without anosmia
C0342418,hamartoma of hypothalamus
C0342443,cushing syndrome
C0342471,3 beta-hydroxysteroid dehydrogenase deficiency
C0342474,congenital lipoid adrenal hyperplasia due to star deficency
C0342482,"congenital adrenal hypoplasia, x-linked"
C0342495,macronodular adrenal hyperplasia
C0342637,familial hypocalciuric hypercalcemia
C0342642,autosomal dominant hypophosphatemic rickets
C0342646,vitamin d-dependent rickets type ii with alopecia
C0342708,gamma-aminobutyric acid transaminase deficiency
C0342731,mevalonic aciduria
C0342738,beta-hydroxyisobutyryl-coa deacylase deficiency
C0342739,trimethylaminuria
C0342749,phosphate transport defect
C0342770,fumarase deficiency
C0342783,deficiency of butyryl-coa dehydrogenase
C0342788,renal carnitine transport defect
C0342790,carnitine palmitoyltransferase ii deficiency
C0342791,carnitine acylcarnitine translocase deficiency
C0342792,succinyl-coa acetoacetate transferase deficiency
C0342793,deficiency of malonyl-coa decarboxylase
C0342803,dihydropyrimidinase deficiency
C0342859,harderoporphyria
C0342870,bifunctional peroxisomal enzyme deficiency
C0342881,homozygous familial hypercholesterolemia
C0342895,fish-eye disease
C0342907,sitosterolemia
C0343055,generalized pustular psoriasis
C0344482,hypoplasia of the corpus callosum
C0344530,megalocornea
C0344559,irido-corneo-trabecular dysgenesis
C0344905,abnormal left ventricle morphology
C0345160,congenital laryngomalacia
C0345240,"aganglionosis, total intestinal"
C0345375,short femur
C0345394,vertebral hypoplasia
C0345407,osteopetrosis with renal tubular acidosis
C0345893,juvenile polyposis syndrome
Cumapped79,generalized juvenile polyposis/juvenile polyposis coli
C0346010,multiple fibrofolliculomas
C0346072,blue rubber bleb nevus
C0346153,familial cancer of breast
C0346326,optic nerve glioma
C0349639,juvenile myelomonocytic leukemia
C0349653,congenital disorder of glycosylation type i
C0349788,arrhythmogenic right ventricular cardiomyopathy
C0375206,hemiplegia/hemiparesis
C0376358,malignant tumor of prostate
C0376480,gingival overgrowth
C0376571,"fanconi anemia, complementation group s"
C0391816,tietz syndrome
C0392475,roberts-sc phocomelia syndrome
C0392476,epiphyseal dysplasia
C0392514,hereditary hemochromatosis
C0392607,"severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency"
C0393541,autosomal recessive distal spinal muscular atrophy 2
C0393576,chorea-acanthocytosis
C0393588,paroxysmal dystonia
C0393591,aicardi goutieres syndrome
C0393593,dystonic disorder
C0393702,generalized myoclonic-atonic seizure
C0393706,early infantile epileptic encephalopathy with suppression bursts
C0393807,"neuropathy, hereditary motor and sensory, type 6a"
C0393808,charcot-marie-tooth disease x-linked dominant 1
C0393929,familial infantile myasthenia
C0394006,"cerebellar ataxia, intellectual disability, and dysequilibrium syndrome 1"
C0398564,adenosine kinase deficiency
C0398595,myeloperoxidase deficiency
C0398625,reduced protein c activity
C0398689,hyper-igm syndrome type 1
C0398691,hyperimmunoglobulin d with periodic fever
C0398738,leukocyte adhesion deficiency 1
C0398739,leukocyte adhesion deficiency type ii
C0398777,factor h deficiency
C0398788,"centromeric instability of chromosomes 1,9 and 16 and immunodeficiency"
C0398791,"microcephaly, normal intelligence and immunodeficiency"
C0401151,chronic diarrhea
C0403399,finnish congenital nephrotic syndrome
C0403554,renal tubular acidosis with progressive nerve deafness
C0403720,x-linked recessive nephrolithiasis with renal failure
C0403814,congenital bilateral aplasia of vas deferens from cftr mutation
C0406557,kindler syndrome
C0406586,neonatal pseudo-hydrocephalic progeroid syndrome
C0406612,encephalocraniocutaneous lipomatosis
C0406702,autosomal recessive hypohidrotic ectodermal dysplasia syndrome
C0406723,gapo syndrome
C0406757,hereditary palmoplantar keratoderma
C0406775,symmetrical dyschromatosis of extremities
C0406778,dermatopathia pigmentosa reticularis
C0406801,eccrine angiomatous hamartoma
C0409495,protrusio acetabuli
C0410174,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 4"
C0410179,ullrich congenital muscular dystrophy 1
C0410180,eichsfeld type congenital muscular dystrophy
C0410189,emery-dreifuss muscular dystrophy
C0410190,benign scapuloperoneal muscular dystrophy with cardiomyopathy
C0410203,severe x-linked myotubular myopathy
C0410204,"myopathy, centronuclear, 2"
C0410207,myopathy with tubular aggregates
C0410528,skeletal dysplasia
C0410529,hypochondroplasia
C0410530,metachondromatosis
C0410538,pseudoachondroplastic spondyloepiphyseal dysplasia syndrome
C0410607,intervertebral disk calcification
C0410935,wide cranial sutures
C0423110,downslanted palpebral fissures
C0423113,telecanthus
C0423224,deeply set eye
C0423757,thin skin
C0423798,bruising susceptibility
C0424230,psychomotor retardation
C0424503,abnormal facial shape
C0424605,developmental delay
C0424711,hypotelorism
C0426440,enlarged naris
C0426501,short lingual frenulum
C0426790,narrow chest
C0426799,short clavicles
C0426817,short ribs
C0426870,large hands
C0426886,tapered finger
C0427065,distal muscle weakness
C0428851,pulmonary artery dilatation
C0431368,partial agenesis of the corpus callosum
C0431369,dysplastic corpus callosum
C0431391,hemimegalencephaly
C0431399,joubert syndrome
C0431401,gillespie syndrome
C0431447,synophrys
C0431663,bilateral cryptorchidism
C0431693,renal cysts and diabetes syndrome
C0431718,multiple renal cysts
C0431904,postaxial hand polydactyly
C0432072,dysmorphic features
C0432122,trigonocephaly 1
C0432163,vertebral segmentation defect
Cumapped300,"spondyloepimetaphyseal dysplasia, maroteaux type"
Cumapped299,"spondyloepimetaphyseal dysplasia, bieganski type"
C0432215,progressive pseudorheumatoid dysplasia
C0432217,wolcott-rallison dysplasia
C0432235,cranioectodermal dysplasia 1
C0432252,osteoporosis with pseudoglioma
C0432273,worth disease
C0432283,osteoglophonic dysplasia
C0432284,infantile myofibromatosis
C0432291,mandibuloacral dysplasia with type a lipodystrophy
C0432306,ichthyosis bullosa of siemens
C0432316,epidermolysis bullosa simplex with mottled pigmentation
C0432321,pretibial dystrophic epidermolysis bullosa
C0441748,autosomal recessive inheritance
C0451696,mhc class ii deficiency
C0452138,bilateral sensorineural hearing impairment
C0454641,expressive language delay
C0454644,delayed speech and language development
C0455988,non-immune hydrops fetalis
C0456132,large fontanelles
C0457013,curry-hall syndrome
C0457133,muscle eye brain disease
C0472767,beta thalassemia intermedia
C0473527,"hypoalphalipoproteinemia, primary, 2"
C0473583,pseudoxanthoma elasticum
C0476403,emg abnormality
C0494475,generalized myoclonic seizure
C0497552,abnormality of the nervous system
C0520578,retractile testis
C0520680,"apnea, central sleep"
C0520739,"pyropoikilocytosis, hereditary"
C0520806,sudden unexplained death
C0520947,motor delay
C0521525,short neck
C0521620,hydroureter
C0521694,retinal atrophy
C0541764,delayed skeletal maturation
C0541767,abnormal platelet aggregation
C0542514,blue sclerae
C0542518,enlarged kidney
C0543888,epileptic encephalopathy
C0546264,congenital myopathy with fiber type disproportion
C0546476,multiple self-healing squamous epithelioma
C0546837,malignant tumor of esophagus
C0546952,facial asymmetry
C0549397,deviated nasal septum
C0549463,x-linked lymphoproliferative disease due to sh2d1a deficiency
C0549473,thyroid gland carcinoma
C0553681,hypofibrinogenemia
C0554970,optic disc pallor
C0557874,global developmental delay
C0560046,inability to walk
C0565599,maternal hypertension
C0574080,deficiency of guanidinoacetate methyltransferase
C0574083,3-methylglutaconic aciduria type 2
C0574084,3-methylglutaconic aciduria type 3
C0574769,alopecia of scalp
C0575802,small hand
C0575897,thumb deformity
C0584837,choanal stenosis
C0585216,acquired hemoglobin h disease
C0585442,bone osteosarcoma
C0587246,limb muscle weakness
C0587248,costello syndrome
C0599035,hyperornithinemia
C0600031,asplenia
C0600518,choroidal neovascularization
C0678230,epicanthal fold
C0684249,lung carcinoma
C0685787,facial cleft
C0685838,perrault syndrome
C0686353,autosomal recessive limb-girdle muscular dystrophy type r18
C0687120,nephronophthisis
C0687150,parathyroid carcinoma
C0687720,neurohypophyseal diabetes insipidus
C0694566,disseminated atypical mycobacterial infection
C0699743,congenital muscular dystrophy with rigid spine
C0699790,carcinoma of colon
C0699791,gastric cancer
C0700208,scoliosis
C0700502,primary hypothyroidism
C0700635,"spondyloepimetaphyseal dysplasia, strudwick type"
C0728829,pes cavus
C0730295,basal laminar drusen
C0730303,retinal capillary hemangioma
C0740279,cerebellar atrophy
C0745103,"hypercholesterolemia, familial, 1"
C0746102,chronic lung disease
C0746674,generalized muscle weakness
C0749379,thoracolumbar scoliosis
C0750927,childhood apraxia of speech
C0751036,"charcot-marie-tooth disease, type i"
C0751038,cockayne syndrome type 2
C0751039,cockayne syndrome type 1
C0751122,severe myoclonic epilepsy in infancy
C0751157,fraxe
C0751161,udpglucose-4-epimerase deficiency
C0751202,classic homocystinuria
C0751335,scapuloperoneal spinal muscular atrophy
C0751337,x-linked scapuloperoneal muscular dystrophy
Cumapped286,sleep myoclonus
C0751360,"congenital myotonia, autosomal recessive form"
C0751383,neuronal ceroid lipofuscinosis 3
C0751435,hyperphenylalaninemia due to tetrahydrobiopterin deficiency
C0751483,hereditary retinoblastoma
C0751495,focal-onset seizure
C0751587,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy
C0751651,mitochondrial disease
C0751674,lymphangiomyomatosis
C0751748,atypical glycine encephalopathy
C0751778,progressive myoclonic epilepsy
C0751779,action myoclonus-renal failure syndrome
C0751783,lafora disease
C0751785,unverricht-lundborg syndrome
C0751882,congenital myasthenic syndrome
C0751951,central core myopathy
C0752123,spinocerebellar ataxia type 5
C0752124,spinocerebellar ataxia type 6
C0752166,bardet-biedl syndrome
C0752347,lewy body dementia
C0795833,kleefstra syndrome 1
C0795841,11q partial monosomy syndrome
Cumapped287,smith-magenis syndrome-like
C0795864,smith-magenis syndrome
C0795889,allan-herndon-dudley syndrome
C0795910,charcot-marie-tooth disease x-linked recessive 4
C0795934,doors syndrome
C0795949,galloway-mowat syndrome
C0795953,masa syndrome
C0795956,chylomicron retention disease
C0795998,jackson-weiss syndrome
C0796004,kabuki syndrome 1
C0796016,"microphthalmia, syndromic 1"
C0796022,x-linked intellectual disability with marfanoid habitus
C0796028,arts syndrome
C0796037,martsolf syndrome
C0796074,deafness dystonia syndrome
C0796081,myhre syndrome
C0796083,dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
C0796085,nance-horan syndrome
C0796126,aicardi-goutieres syndrome 1
C0796135,renpenning syndrome
C0796137,ritscher-schinzel syndrome
C0796160,syndromic x-linked intellectual disability snyder type
C0796173,spondyloperipheral dysplasia
C0796182,acromelic frontonasal dysostosis
C0796200,wieacker-wolff syndrome
C0796250,partington syndrome
C0796274,brown-vialetto-van laere syndrome 1
C0796275,brunner syndrome
C0796279,3mc syndrome 2
C0812437,oculodentodigital dysplasia
C0848558,hypospadias
C0850715,abnormality of blood and blood-forming tissues
C0853087,abnormality of the nail
C0855740,abnormal platelet function
C0855742,abnormal platelet morphology
C0856747,ascending tubular aorta aneurysm
C0856761,budd-chiari syndrome
C0856830,chondrocalcinosis 2
C0856975,pervasive developmental disorder
C0868910,oligospermia
C0872218,mitochondrial neurogastrointestinal encephalomyopathy
Cumapped257,schimke immuno-osseous dysplasia
C0878544,cardiomyopathy
C0878575,peripheral demyelination
C0878659,disproportionate short stature
C0878660,proportionate short stature
C0878676,6-pyruvoyl-tetrahydrobiopterin synthase deficiency
C0878677,danon disease
C0878682,deficiency of ferroxidase
C0878683,"pituitary hormone deficiency, combined, 2"
C0878684,short syndrome
C0917713,becker muscular dystrophy
C0917796,leber optic atrophy
C0917800,familial infantile myoclonic epilepsy
C0917804,cerebral arteriovenous malformation
C0919267,neoplasm of ovary
C0947912,fatigable weakness
C0948008,ischemic stroke
C0948242,fetal cystic hygroma
C0949595,ovarian dysgenesis 1
C0949658,familial hypertrophic cardiomyopathy with wolff-parkinson-white syndrome
C1096086,abnormality of the lower limb
C1096099,iris transillumination defect
C1096367,increased mean platelet volume
Cumapped275,"sialic acid storage disease, severe infantile type"
C1096903,salla disease
C1112256,sensorimotor neuropathy
C1135812,patellar dislocation
C1136033,cutaneous mastocytosis
C1136179,hammertoe
C1140680,ovarian cancer
C1141890,congenital long qt syndrome
C1142166,brugada syndrome
C1148551,"dyskeratosis congenita, x-linked"
C1168401,squamous cell carcinoma of the head and neck
C1260386,glucocorticoid-remediable aldosteronism
C1260899,diamond-blackfan anemia
C1262477,decreased body weight
C1263857,peripheral axonal neuropathy
C1263858,merosin deficient congenital muscular dystrophy
C1264039,von willebrand disease type 1
C1264040,von willebrand disease type 2
C1264041,von willebrand disease type 3
C1268935,upshaw-schulman syndrome
C1273070,left ventricular diastolic dysfunction
C1274708,central centrifugal cicatricial alopecia
C1274795,hereditary mucoepithelial dysplasia
C1275074,odonto-onycho-dermal dysplasia
